learning_rate,epoca,costo_entrenamiento
0.01,71,0.004037127057905543
0.01,72,0.00397712589922645
0.01,73,0.0038594118037633012
0.01,74,0.0037721539823205807
0.01,75,0.003689084590643553
0.01,76,0.0036172790394864247
0.01,77,0.003556847813225874
0.01,78,0.0034775737910675503
0.01,79,0.0034000199030616543
0.01,80,0.0033386792765435543
0.01,81,0.0032706080247807455
0.01,82,0.0032135839451480457
0.01,83,0.003147568504183858
0.01,84,0.0030956433818339012
0.01,85,0.003045255724969434
0.01,86,0.002986390408210878
0.01,87,0.002930853863928282
0.01,88,0.0028852043684842715
0.01,89,0.0028340214661460735
0.01,90,0.002790229210689655
0.01,91,0.0027394134490102114
0.01,92,0.0026960860971926236
0.01,93,0.002650318869618747
0.01,94,0.002622744699721944
0.1,1,0.5564342714719307
0.1,2,0.06880266636501531
0.1,3,0.02406071346208911
0.1,4,0.005875928647481528
0.1,5,0.003362400696243524
0.1,6,0.002781783465847919
0.1,7,0.0022544044527264915
0.1,8,0.0019990063952439424
0.1,9,0.0018043619709421203
0.1,10,0.0017023601509873869
0.1,11,0.001623318655283316
0.1,12,0.001566553806097062
0.1,13,0.0015154165853449068
0.1,14,0.0014673642911421717
0.1,15,0.0014282627790072734
0.1,16,0.0013965758259311908
0.1,17,0.0013692385437075424
0.1,18,0.0013422155670865029
0.1,19,0.0013191420681799716
0.1,20,0.001298563117610758
0.1,21,0.001278800948235552
0.1,22,0.0012596906656150524
0.1,23,0.0012435112798677747
0.1,24,0.0012260198565029064
0.1,25,0.001212303108679591
0.1,26,0.0012004229736383458
0.1,27,0.0011856040774393887
0.1,28,0.0011726332184362844
0.1,29,0.001161107304646475
0.1,30,0.0011503771180385028
0.1,31,0.0011384303977767009
